,Reporting_Entity,Facility_Name,State,Electricity_Production_GJ,Electricity_Production_MWh,Primary_Fuel,Year,Lat,Lng,Renewable
0,ACCIONA ENERGY OCEANIA PTY LTD,Gunning Wind Farm,NSW,"575,522","159,867",Wind,2020-2021,-34.6905625,149.4270092,True
1,ACCIONA ENERGY OCEANIA PTY LTD,Mt Gellibrand Wind Farm,VIC,"1,018,498","282,916",Wind,2020-2021,-38.2327778,143.7922222,True
2,ACCIONA ENERGY OCEANIA PTY LTD,Waubra Wind Farm,VIC,"2,339,624","649,896",Wind,2020-2021,-37.3946388,143.6386011,True
3,ADANI RENEWABLE ASSET HOLDINGS PTY LTD,Adani Rugby Run Solar Farm,QLD,"587,856","163,293",Solar,2020-2021,-22.1440625,147.9142556,True
4,AGL ENERGY LIMITED,Banimboola Hydro,VIC,"7,240","2,011",Hydro,2020-2021,-36.5343144,147.459344,True
5,AGL ENERGY LIMITED,Barker Inlet Power Station,SA,"1,391,597","386,555",Gas,2020-2021,-34.8043219,138.5249106,False
6,AGL ENERGY LIMITED,Bayswater Power Station,NSW,"51,517,714","14,310,476",Black Coal,2020-2021,-32.3925781,150.9490509,False
7,AGL ENERGY LIMITED,Bogong Power Station,VIC,"314,481","87,356",Hydro,2020-2021,-36.8057885,147.2281158,True
8,AGL ENERGY LIMITED,Broken Hill Solar Plant,NSW,"408,929","113,591",Solar,2020-2021,-31.985972,141.3929982,True
9,AGL ENERGY LIMITED,Copeton Hydro,NSW,"33,585","9,329",Hydro,2020-2021,-29.8466241,150.8866281,True
10,AGL ENERGY LIMITED,Dartmouth Hydro,VIC,"153,275","42,576",Hydro,2020-2021,-36.5324694,147.4961766,True
11,AGL ENERGY LIMITED,Eildon Hydro,VIC,"401,140","111,428",Hydro,2020-2021,-37.2345677,145.9089916,True
12,AGL ENERGY LIMITED,Glenbawn Hydro,NSW,123,34,Hydro,2020-2021,-32.1080329,150.985732,True
13,AGL ENERGY LIMITED,Hunter Valley Gas Turbines,NSW,0,0,Gas,2020-2021,-32.1932173,151.700565,False
